time,x_cg,z_cg,theta_deg,vx,vz,omega,thrust,vane_angle_deg,target_x,target_z,theta_target_deg,omega_target,ax_target,thrust_cmd,vane_angle_cmd_deg,thrust_force_x,thrust_force_z,vane_force_x,vane_force_z,drag_force_x,drag_force_z,total_force_x,total_force_z,vane_moment,damping_moment,total_moment,x_ddot,z_ddot,theta_ddot,desired_moment,rate_error,rate_p,rate_i,rate_d,rate_ff,mixer_unattainable_moment,motor_saturated,servo_angle_saturated,servo_rate_saturated,mixer_saturated
0.0,0.0,1.0,8.0,0.0,0.0,0.0,14.715,0.0,0.0,1.0,0.0,-0.15,0.0,14.859612729611465,1.3551629698765324,2.0479321806273627,14.571794631532208,0.0,-0.0,-0.0,-0.0,2.0479321806273627,-0.14320536846779142,-0.0,-0.0,0.0,1.3652881204182419,-0.09547024564519428,0.0,-0.0652575,-0.15,-0.00525,-7.5e-06,-0.06,-0.0,0.0,0,0,0,0
0.005,3.413220301045605e-05,0.9999976132438588,8.0,0.00682644060209121,-0.0004773512282259714,0.0,14.724038295600716,0.16939537123456655,0.0,1.0,-0.044016644153982834,-0.3,-0.007536390424708696,14.862526676113138,1.463599058751383,2.049190068253508,14.580744967061444,0.03233105554495455,-0.0045438335330972935,-0.000682644060209121,4.773512282259715e-05,2.0808384797382535,-0.13875113134883046,-0.008162197834481516,-0.0,-0.008162197834481516,1.3872256531588356,-0.09250075423255365,-0.2511445487532774,-0.0705225,-0.3,-0.0105,-2.25e-05,-0.06,-0.0,0.0,0,0,0,0
0.01,0.00010294504734988299,0.9999929139688619,7.9996402619327185,0.013762568867885388,-0.0009398549993887397,-0.0012557227437663872,14.732693819382742,0.33117083217416854,0.0,1.0,-0.08889997717227874,-0.44999999999999996,-0.015221181792553834,14.865358562670018,1.5607674022837108,2.0503030836170804,14.589329129229649,0.06324497602157544,-0.008888096787159905,-0.0013762568867885388,9.398549993887398e-05,2.1121718027518677,-0.13446498205757274,-0.015966616063813378,5.0228909750655486e-05,-0.01591638715406272,1.4081145351679119,-0.08964332137171516,-0.48973498935577603,-0.07524869782032441,-0.44874427725623356,-0.015706049703968175,-4.4937213862811676e-05,-0.05949771090249342,-0.0,0.0,0,0,0,0
0.015,0.00020696075506850773,0.9999859736108306,7.998579030166187,0.020803141543724948,-0.0013880716062473154,-0.0037043976905452676,14.740985365838197,0.4848704034378614,0.0,1.0,-0.13461869361197132,-0.6,-0.023049024302152252,14.868098667460167,1.6576704590859863,2.051186616477228,14.597577984728858,0.09264993320827876,-0.013018755797238537,-0.002080314154372495,0.00013880716062473155,2.141756235531134,-0.13030196390775609,-0.023390032767728556,0.0001481759076218107,-0.023241856860106744,1.4278374903540894,-0.08686797593850405,-0.7151340572340537,-0.07996562809609764,-0.5962956023094547,-0.020870346080830916,-7.475199397828441e-05,-0.059020530021288445,-0.0,0.0,0,0,0,0
0.02,0.0003466724000459847,0.9999768615534009,7.996493444318016,0.027942328995495393,-0.0018224114859398356,-0.007280067976715536,14.74892994718957,0.631470410393877,0.0,1.0,-0.1811375785457794,-0.75,-0.031013899815081725,14.870737071583392,1.7543868949753012,2.0517604488547145,14.60551997183328,0.12072818149533583,-0.016959704846659547,-0.0027942328995495397,0.00018224114859398356,2.1696943974505007,-0.12625749186478533,-0.030478399518815532,0.00029120271906862144,-0.03018719679974691,1.4464629316336672,-0.08417166124319021,-0.9288368246075972,-0.08467681749692632,-0.7427199320232845,-0.02599519762081496,-0.00011188799057944862,-0.05856973188553192,-0.0,0.0,0,0,0,0
0.025,0.0005225456183143033,0.9999656452044402,7.993077397722186,0.035174643653663726,-0.0022432697921557867,-0.011924252099753521,14.756542892464184,0.7718349709665551,0.0,1.0,-0.22842348059963283,-0.9,-0.03911014451368154,14.873264409312418,1.8509012708586179,2.0519482520298937,14.61318125899103,0.14764129786628125,-0.020731440862525652,-0.0035174643653663727,0.0002243269792155787,2.1960720855308087,-0.12232585489228044,-0.03727243072623885,0.00047697008399014086,-0.03679546064224871,1.4640480570205392,-0.08155056992818696,-1.1321680197614987,-0.0893812693052679,-0.8880757479002465,-0.03108265117650863,-0.00015629177797446095,-0.0581423263507848,-0.0,0.0,0,0,0,0
0.03,0.0007350200380081355,0.9999523900912313,7.988039639895556,0.04249488393876642,-0.0026510226417967215,-0.017585092198561015,14.763837987267198,0.9067182584530629,0.0,1.0,-0.2764449585392844,-1.0096972705613454,-0.04733238836304958,14.875671792388891,1.5842929476154062,2.051677146330635,14.620585932222365,0.17353048069187765,-0.024351180115336026,-0.004249488393876642,0.00026510226417967214,2.220958138628636,-0.11850014562879027,-0.04380768176228033,0.0007034036879424407,-0.04310427807433789,1.4806387590857575,-0.07900009708586019,-1.3262854792103966,-0.07654439581460525,-0.9921121783627844,-0.03472392624269746,-0.00020589738689260018,-0.041614572185015186,-0.0,0.0,0,0,0,0
0.035,0.0009845104266791114,0.9999371599755952,7.98110211805922,0.04989807773419521,-0.0030460231272260224,-0.024216519594612997,14.770827600087305,0.9914150945983556,0.0,1.0,-0.32517192363979813,-1.014802814204093,-0.05567549384895803,14.877950744284298,0.7099177678002616,2.0508773158544296,14.627756158304479,0.18983306945150957,-0.026615451592422946,-0.004989807773419522,0.00030460231272260227,2.2357205775325197,-0.11355469097522215,-0.047922448106843846,0.0009686607837845199,-0.046953787323059326,1.49048038502168,-0.07570312731681476,-1.4447319176325946,-0.03431559351163311,-0.99058629460948,-0.034670520311331804,-0.00025542670162307415,0.0006103535013217698,-0.0,0.0,0,0,0,0
0.04,0.0012712628249756295,0.9999200372817761,7.97209517018768,0.05735047965930361,-0.0034245387638100963,-0.03144017918277597,14.777522796599618,0.9562279287485939,0.0,1.0,-0.37438864463221744,-1.0197153647311668,-0.06410253788521449,14.880071885773772,0.7024503470850314,2.0495063562638896,14.6347088696583,0.18318256775453365,-0.025653659414300544,-0.005735047965930361,0.00034245387638100964,2.2269538760524927,-0.10560233587961917,-0.0462425422166167,0.0012576071673110387,-0.04498493504930566,1.4846359173683286,-0.07040155725307945,-1.3841518476709433,-0.033970028330658486,-0.9882751855483908,-0.03458963149419368,-0.0003048404609004937,0.0009244436244356891,-0.0,0.0,0,0,0,0
0.045,0.0015951311212063558,0.9999011545490257,7.961105570839221,0.06477365924614525,-0.0037765465500754934,-0.03836093842113068,14.783932114673002,0.9245057310406486,0.0,1.0,-0.42359049373482693,-1.0243838717407971,-0.07252713006772488,14.881976672992078,0.7020221055882254,2.0475870086862678,14.641449252485868,0.17718718367694053,-0.024779389604551116,-0.006477365924614526,0.00037765465500754934,2.2182968264385936,-0.09795248246367577,-0.044727868974876836,0.0015344375368452274,-0.04319343143803161,1.4788645509590623,-0.06530165497578384,-1.3290286596317418,-0.0339640433822651,-0.9860229333196665,-0.034510802666188334,-0.000354141607566477,0.0009009008914897088,-0.0,0.0,0,0,0,0
