scenario,variant,profile_source,assist_gain_m_per_Nm,atc_rat_pit_p,atc_rat_pit_i,atc_rat_pit_d,atc_ang_pit_p,psc_ne_pos_p,psc_ne_vel_p,tail_rms_x_m,tail_rms_vx_m_s,final_abs_x_error_m,position_overshoot_m,settling_time_s,settled,peak_abs_theta_deg,vane_command_rms_deg,vane_command_max_deg,moving_mass_max_target_m,moving_mass_max_offset_m,moving_mass_max_rate_m_s,moving_mass_max_acceleration_m_s2,ground_contact,duration_s,physics_dt_s,controller_dt_s,simulation_sample_count
loiter,vane_only,results/analysis/variant_controller_optimization/profiles/vane_only.json,0.0,0.1394708251953125,0.0,0.017193449702789215,28.831536800000002,0.6286206268221575,0.984955860255447,0.030118820439069816,0.01703933156160602,0.01956205743894921,0.496378351764911,5.384999999999871,True,7.637633381542291,1.3058037641582112,6.232054988318609,0.0,0.0,0.0,0.0,False,10.0,0.005,0.01,2000
loiter,moving_mass_assist,results/analysis/variant_controller_optimization/profiles/moving_mass_assist.json,0.018680405097860724,0.13995564270019534,0.0,0.01662736211133974,28.296658700000002,0.6253285805393588,0.9891142702854996,0.02876107699982057,0.01522767099301152,0.01755895463735244,0.49589433732867805,5.059999999999878,True,7.43412490445673,1.0901120123138142,5.833604408841062,0.00701971851878965,0.00689595008922355,0.0973910140316831,1.0000000000000009,False,10.0,0.005,0.01,2000
forward_1m,vane_only,results/analysis/variant_controller_optimization/profiles/vane_only.json,0.0,0.1394708251953125,0.0,0.017193449702789215,28.831536800000002,0.6286206268221575,0.984955860255447,0.015103564255076347,0.020783593121028086,0.0033445164047297693,0.06996803494175063,6.249999999999868,True,5.911937679993733,1.3914488905079594,11.094882334721056,0.0,0.0,0.0,0.0,False,10.0,0.005,0.01,2000
forward_1m,moving_mass_assist,results/analysis/variant_controller_optimization/profiles/moving_mass_assist.json,0.018680405097860724,0.13995564270019534,0.0,0.01662736211133974,28.296658700000002,0.6253285805393588,0.9891142702854996,0.01578078079518311,0.022029668640534836,5.264076238020721e-06,0.07076742288534499,6.314999999999866,True,5.920211424404704,1.2598914215405492,10.577834609919458,0.01268705473577893,0.006727777096714067,0.10000000000000002,1.0000000000000009,False,10.0,0.005,0.01,2000
