variant,refinement_round,refinement_action,candidate_key,refinement_parent_key,parameter_space_distance_from_parent,on_local_refinement_boundary,atc_rat_pit_p,atc_rat_pit_d,atc_ang_pit_p,psc_ne_pos_p,psc_ne_vel_p,moving_mass_assist_gain_m_per_Nm,selection_eligible,corrected_selection_class,worst_settling_time_s,worst_step_overshoot_fraction,worst_overshoot_band_distance,worst_step_target_crossing_count,worst_rise_time_s,worst_final_abs_position_error_m,actuator_effort_index,worst_moving_mass_limiter_duty_percent,robustness_index
moving_mass_assist,6,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.1399556427:atc_rat_pit_d=0.01662736211:atc_ang_pit_p=28.2966587:psc_ne_pos_p=0.6253285805:psc_ne_vel_p=0.9891142703:moving_mass_assist_gain_m_per_Nm=0.0186804051,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01662021405:atc_ang_pit_p=28.3003442:psc_ne_pos_p=0.6252531888:psc_ne_vel_p=0.9897992581:moving_mass_assist_gain_m_per_Nm=0.01869872553,0.0015126329355805387,False,0.13995564270019534,0.01662736211133974,28.296658700000002,0.6253285805393588,0.9891142702854996,0.018680405097860724,True,eligible,7.55999999999986,0.07076742288534499,0.020767422885344985,1,2.439999999999948,0.002675671772293997,2.6088188680279694,12.291666666666666,0.0881617551426606
moving_mass_assist,6,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01657925254:atc_ang_pit_p=28.2959837:psc_ne_pos_p=0.6257080448:psc_ne_vel_p=0.9902118943:moving_mass_assist_gain_m_per_Nm=0.01875118343,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01662021405:atc_ang_pit_p=28.3003442:psc_ne_pos_p=0.6252531888:psc_ne_vel_p=0.9897992581:moving_mass_assist_gain_m_per_Nm=0.01869872553,0.0021209998341837075,True,0.14,0.016579252543438505,28.2959837,0.625708044825073,0.9902118942524417,0.01875118343195267,True,eligible,7.55999999999986,0.07099505468216849,0.020995054682168487,1,2.434999999999948,0.0036148139114627886,2.623036772211111,12.416666666666666,0.08752581874323857
moving_mass_assist,5,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01662021405:atc_ang_pit_p=28.3003442:psc_ne_pos_p=0.6252531888:psc_ne_vel_p=0.9897992581:moving_mass_assist_gain_m_per_Nm=0.01869872553,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01668523034:atc_ang_pit_p=28.3434092:psc_ne_pos_p=0.6251853134:psc_ne_vel_p=0.9893402517:moving_mass_assist_gain_m_per_Nm=0.01887237142,0.0031029869480645412,True,0.14,0.016620214048925473,28.3003442,0.6252531887755104,0.989799258076634,0.018698725534820215,True,eligible,7.55999999999986,0.07106051106814082,0.021060511068140816,1,2.439999999999948,0.003609858342796257,2.610297673457174,12.125,0.08775992488417371
moving_mass_assist,4,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01668523034:atc_ang_pit_p=28.3434092:psc_ne_pos_p=0.6251853134:psc_ne_vel_p=0.9893402517:moving_mass_assist_gain_m_per_Nm=0.01887237142,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01674863054:atc_ang_pit_p=28.2254192:psc_ne_pos_p=0.6241202624:psc_ne_vel_p=0.9894646882:moving_mass_assist_gain_m_per_Nm=0.01926882112,0.006271983878078426,True,0.14,0.01668523033836306,28.3434092,0.6251853134110789,0.9893402516904582,0.018872371415566688,True,eligible,7.569999999999862,0.07122543897854627,0.02122543897854627,1,2.444999999999948,0.002746872608243578,2.6271769858559813,12.25,0.08649093028143176
moving_mass_assist,5,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.1398972778:atc_rat_pit_d=0.0166716801:atc_ang_pit_p=28.2919742:psc_ne_pos_p=0.6261014031:psc_ne_vel_p=0.9897734316:moving_mass_assist_gain_m_per_Nm=0.01884665453,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01668523034:atc_ang_pit_p=28.3434092:psc_ne_pos_p=0.6251853134:psc_ne_vel_p=0.9893402517:moving_mass_assist_gain_m_per_Nm=0.01887237142,0.003596526286063367,False,0.13989727783203126,0.01667168009830819,28.2919742,0.6261014030612246,0.989773431630353,0.018846654528903054,True,eligible,7.5749999999998625,0.07130490131793277,0.021304901317932765,1,2.439999999999948,0.002817545474565031,2.608734115404264,12.291666666666666,0.08694022986889874
moving_mass_assist,5,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.1398204956:atc_rat_pit_d=0.0167746122:atc_ang_pit_p=28.3961942:psc_ne_pos_p=0.6257059949:psc_ne_vel_p=0.9901350019:moving_mass_assist_gain_m_per_Nm=0.01847979062,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01668523034:atc_ang_pit_p=28.3434092:psc_ne_pos_p=0.6251853134:psc_ne_vel_p=0.9893402517:moving_mass_assist_gain_m_per_Nm=0.01887237142,0.005342404469613094,False,0.13982049560546878,0.016774612197073623,28.3961942,0.6257059948979593,0.990135001878287,0.018479790623577613,True,eligible,7.579999999999863,0.07078255696990499,0.020782556969904983,1,2.444999999999948,0.0029210145837270662,2.6047744059151032,12.291666666666666,0.088813333991862
moving_mass_assist,6,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.1399452667:atc_rat_pit_d=0.01664526335:atc_ang_pit_p=28.3074587:psc_ne_pos_p=0.624975082:psc_ne_vel_p=0.9901473281:moving_mass_assist_gain_m_per_Nm=0.01872774238,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01662021405:atc_ang_pit_p=28.3003442:psc_ne_pos_p=0.6252531888:psc_ne_vel_p=0.9897992581:moving_mass_assist_gain_m_per_Nm=0.01869872553,0.0015424131573698555,False,0.13994526672363283,0.01664526334590764,28.3074587,0.6249750819970847,0.9901473281367392,0.018727742375967235,True,eligible,7.584999999999864,0.06964072626311046,0.01964072626311046,1,2.444999999999948,0.0030732979218011103,2.608317211257951,12.291666666666666,0.08725233834642689
moving_mass_assist,6,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.1399099884:atc_rat_pit_d=0.01658932199:atc_ang_pit_p=28.2656087:psc_ne_pos_p=0.6251053663:psc_ne_vel_p=0.9890884438:moving_mass_assist_gain_m_per_Nm=0.01886656805,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01662021405:atc_ang_pit_p=28.3003442:psc_ne_pos_p=0.6252531888:psc_ne_vel_p=0.9897992581:moving_mass_assist_gain_m_per_Nm=0.01869872553,0.0026853422818889808,False,0.13990998840332033,0.01658932198788295,28.2656087,0.6251053662536445,0.9890884438392186,0.018866568047337284,True,eligible,7.584999999999864,0.07040580311388656,0.020405803113886553,1,2.439999999999948,0.002076079958853394,2.6058657028893273,12.416666666666666,0.08798418635992769
moving_mass_assist,6,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01663295625:atc_ang_pit_p=28.3229837:psc_ne_pos_p=0.6249937591:psc_ne_vel_p=0.989385448:moving_mass_assist_gain_m_per_Nm=0.01886952663,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01662021405:atc_ang_pit_p=28.3003442:psc_ne_pos_p=0.6252531888:psc_ne_vel_p=0.9897992581:moving_mass_assist_gain_m_per_Nm=0.01869872553,0.0018083381456829245,True,0.14,0.016632956247142207,28.3229837,0.6249937591107874,0.98938544797145,0.01886952662721894,True,eligible,7.584999999999864,0.07057690619173806,0.020576906191738062,1,2.444999999999948,0.002818294627180973,2.6133788550161228,12.375,0.0879619742222591
moving_mass_assist,6,additional_refinement,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.0165814902:atc_ang_pit_p=28.2838337:psc_ne_pos_p=0.6253991891:psc_ne_vel_p=0.9901344149:moving_mass_assist_gain_m_per_Nm=0.01880170687,moving_mass_assist:atc_rat_pit_p=0.14:atc_rat_pit_d=0.01662021405:atc_ang_pit_p=28.3003442:psc_ne_pos_p=0.6252531888:psc_ne_vel_p=0.9897992581:moving_mass_assist_gain_m_per_Nm=0.01869872553,0.0017873347814828158,True,0.14,0.01658149019775949,28.283833700000002,0.6253991891399419,0.9901344149135988,0.018801706873008653,True,eligible,7.584999999999864,0.07077128263869525,0.02077128263869525,1,2.434999999999948,0.0019809661064026374,2.6177264789567634,12.375,0.0866271157440197
