pattern,direction,variant,gain,passed,failures,moving_mass_assist_gain_m_per_Nm,moving_mass_rms_displacement_m,moving_mass_total_travel_m,moving_mass_rate_rms_m_s,moving_mass_acceleration_rms_m_s2,moving_mass_max_abs_offset_m,moving_mass_max_abs_target_m,moving_mass_max_abs_velocity_m_s,moving_mass_max_abs_acceleration_m_s2,moving_mass_saturation_percent,meaningful_moving_mass_direction_change_count,moving_mass_total_travel_per_second_m_s,tail_high_frequency_moving_mass_energy_m2,moving_mass_command_clipping_duty_percent,moving_mass_command_clipping_longest_continuous_duration_s,moving_mass_rail_contact_duty_percent,moving_mass_rail_contact_longest_continuous_duration_s,moving_mass_rate_limiter_duty_percent,moving_mass_rate_limiter_longest_continuous_duration_s,moving_mass_acceleration_limiter_duty_percent,moving_mass_acceleration_limiter_longest_continuous_duration_s
move_stop_move,positive,moving_mass_assist,0.0415,True,,0.0415,0.0008355297970589588,0.033787095736485626,0.006260338474083924,0.49837548042070495,0.0025599909693754396,0.002773349145256145,0.03973710638891295,1.0000000000000215,4.7,0,0.0033787095736485073,2.7538306760271518e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0749999999999984
move_stop_move,negative,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
move_stop_move,negative,moving_mass_assist,0.0415,True,,0.0415,0.0008355297970589588,0.033787095736485626,0.006260338474083924,0.49837548042070495,0.0025599909693754396,0.002773349145256145,0.03973710638891295,1.0000000000000215,4.7,0,0.0033787095736485073,2.7538306760271518e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0749999999999984
commanded_reversal,positive,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commanded_reversal,positive,moving_mass_assist,0.0415,True,,0.0415,0.0006511447404437172,0.02067312574437374,0.004459668744489138,0.3755659717417097,0.002213606372811027,0.0023806247567846723,0.04390678612162919,1.0000000000000215,2.15,0,0.00206731257443734,7.424140742941961e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.05999999999999872
commanded_reversal,negative,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commanded_reversal,negative,moving_mass_assist,0.0415,True,,0.0415,0.0006511447404437172,0.02067312574437374,0.004459668744489138,0.3755659717417097,0.002213606372811027,0.0023806247567846723,0.04390678612162919,1.0000000000000215,2.15,0,0.00206731257443734,7.424140742941961e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.05999999999999872
repeated_pulse_release,positive,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeated_pulse_release,positive,moving_mass_assist,0.0415,True,,0.0415,0.0009505052149809542,0.028368141840009256,0.005270348004677263,0.41808453490000635,0.0019774379725257607,0.0019774379725257607,0.046179081947531994,1.0000000000000215,2.3,0,0.002836814184000879,5.426021341230505e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.05999999999999872
repeated_pulse_release,negative,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeated_pulse_release,negative,moving_mass_assist,0.0415,True,,0.0415,0.0009505052149809542,0.028368141840009256,0.005270348004677263,0.41808453490000635,0.0019774379725257607,0.0019774379725257607,0.046179081947531994,1.0000000000000215,2.3,0,0.002836814184000879,5.426021341230505e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.05999999999999872
gradual_taper,positive,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual_taper,positive,moving_mass_assist,0.0415,True,,0.0415,0.0008422591075620608,0.02007802875473324,0.004962062326756433,0.4020926063182703,0.002601229208065976,0.0026874179670918963,0.0427415139876951,1.0000000000000215,2.6,0,0.002007802875473291,5.887751135392417e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.06499999999999861
gradual_taper,negative,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual_taper,negative,moving_mass_assist,0.0415,True,,0.0415,0.0008422591075620608,0.02007802875473324,0.004962062326756433,0.4020926063182703,0.002601229208065976,0.0026874179670918963,0.0427415139876951,1.0000000000000215,2.6,0,0.002007802875473291,5.887751135392417e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.06499999999999861
